crc32,savetype_code,rtc,description
23cb1a36,1,0,Cars - Motori Ruggenti (Italy)
edc0ccee,0,0,Cartoon Network Block Party (USA)
066a2705,0,0,Cartoon Network Speedway (USA)
ddaf8bac,0,0,Casper (Europe)
9f905e60,0,0,Casper (USA)
9542e247,0,0,"Chokkan Hitofude Advance (Japan, prototype)"
611535dc,3,0,Castlevania (Europe)
284e3092,3,0,Castlevania - Akatsuki no Minuet (Japan)
d0c91f74,3,0,Castlevania - Aria of Sorrow (Europe)
35536183,3,0,Castlevania - Aria of Sorrow (USA)
379b3248,3,0,Castlevania - Byakuya no Concerto (Japan)
1cc059a4,3,0,Castlevania - Circle of the Moon (USA)
521b3091,3,0,Castlevania - Harmony of Dissonance (Europe)
88c1b562,3,0,Castlevania - Harmony of Dissonance (USA)
11a9b76e,0,0,Castleween (Europe)
13c2249e,0,0,The Cat in the Hat by Dr. Seuss (USA)
1adb373d,1,0,"Catwoman (Europe, USA)"
c3aa382d,2,0,"Catz (Europe, English / French / German / Italian)"
ce418ed1,2,0,"Catz (Europe, USA)"
14a87b75,1,0,Chaoji Maliou 2 (China)
d97d4156,2,0,Chaoji Maliou Shijie (China)
2b3fcc74,1,0,Charlie and the Chocolate Factory (Europe)
4e90884d,1,0,Charlie and the Chocolate Factory (USA)
8658bb4f,1,0,Charlotte's Web (Europe)
ba511fb2,1,0,Charlotte's Web (USA)
e2efc2aa,1,0,The Cheetah Girls (USA)
27e7fd09,1,0,Chessmaster (Europe)
55ef8392,1,0,Chessmaster (France)
06abacc5,1,0,Chessmaster (Germany)
25b0e933,1,0,Chessmaster (USA)
dcbd4991,1,0,Chicken Little (Japan)
1e86f5b0,1,0,"Chicken Little (Europe, USA)"
5749fdc9,0,0,Chicken Shoot (Europe)
4b22e081,0,0,Chicken Shoot (USA)
02d12544,0,0,Chicken Shoot 2 (Europe)
1dfe38c2,0,0,Chicken Shoot 2 (USA)
2c00b4e6,3,0,Chinmoku no Iseki - Estpolis Gaiden (Japan)
ddc4b118,1,0,Chobits for Game Boy Advance - Atashi Dake no Hito (Japan)
d4f8152e,3,0,Chocobo Land - A Game of Dice (Japan)
93fe0e34,3,0,Choro Q Advance (Japan)
f5ed5f14,3,0,Choro Q Advance 2 (Japan)
a4f8b4b4,1,0,Chou Makaimura R (Japan)
7e198522,1,0,"The Chronicles of Narnia - The Lion, the Witch and the Wardrobe (Europe, USA)"
8ab607c0,5,0,ChuChu Rocket! (Europe)
2c8c1b5a,5,0,ChuChu Rocket! (Japan)
057fb1b6,5,0,ChuChu Rocket! (USA)
ebd928ed,2,0,CIMA - The Enemy (USA)
e8bf28e2,1,0,Disney's Cinderella - Magical Dreams (Europe)
22f19169,1,0,"Disney's Cinderella - Magical Dreams (Europe, USA)"
8376d53b,1,0,Cinnamoroll - Koko ni Iru yo (Japan)
5a2cada1,1,0,Cinnamon Yume no Daibouken (Japan)
a1cba145,1,0,Cinnamon Fuwafuwa Daibouken (Japan)
cd67f2ba,1,0,"Classic NES Series - Bomberman (Europe, USA)"
c9ebc17d,1,0,"Classic NES Series - Bomberman (Europe, USA)"
2b510046,1,0,NES Classics - Castlevania (Europe)
cfc1f558,1,0,Classic NES Series - Castlevania (USA)
ba82d416,1,0,"Classic NES Series - Donkey Kong (Europe, USA)"
ca9f5d2f,1,0,"Classic NES Series - Dr. Mario (Europe, USA)"
945c292f,2,0,"Classic NES Series - Excitebike (Europe, USA)"
3126d612,1,0,"Classic NES Series - Ice Climber (Europe, USA)"
68b1b7a8,2,0,"Classic NES Series - The Legend of Zelda (Europe, USA)"
b2a153c3,1,0,"Classic NES Series - Metroid (Europe, USA)"
9a243b9b,1,0,"Classic NES Series - Metroid (Europe, USA)"
231f80d6,1,0,"Classic NES Series - Pac-Man (Europe, USA)"
7eddffad,1,0,"Classic NES Series - Super Mario Bros. (Europe, USA)"
9e923716,1,0,"Classic NES Series - Xevious (Europe, USA)"
f2dc3b09,2,0,"Classic NES Series - Zelda II - The Adventure of Link (Europe, USA)"
dab7c402,0,0,Cocoto - Kart Racer (Europe)
27411ef5,0,0,Cocoto - Platform Jumper (Europe)
420a81b7,0,0,Codename - Kids Next Door - Operation S.O.D.A. (USA)
70520c5c,1,0,Colin McRae Rally 2.0 (Europe)
a2e19014,1,0,Colin McRae Rally 2.0 (USA)
330a0975,1,0,Columns Crown (Europe)
a592f7df,1,0,Columns Crown (Japan)
6242ffb2,1,0,Columns Crown (USA)
4e5bfa90,3,0,Combat Choro Q - Advance Daisakusen (Japan)
9f30002f,1,0,Comix Zone (Europe)
5f443b14,0,0,Contra Advance - The Alien Wars EX (Europe)
a817aa47,0,0,Contra Hard Spirits (Japan)
59781c54,0,0,Contra Advance - The Alien Wars EX (USA)
dd1499a0,0,0,Contra Advance (prototype)
a4c6db01,1,0,Corvette (USA)
034d2d4b,1,0,Crash Bandicoot - The Huge Adventure (USA)
0f1d06a0,1,0,Crash Bandicoot 2 - N-Tranced (Europe)
2e16184a,1,0,Crash Bandicoot 2 - N-Tranced (USA)
64767b34,1,0,Crash Bandicoot Advance (Japan)
0e6a4fee,1,0,Crash Bandicoot Advance - Wakuwaku Tomodachi Daisakusen! (Japan)
04fba7cf,1,0,Crash Bandicoot Advance 2 - Guruguru Saimin Dai-panic!? (Japan)
